pair,symbol0,symbol1,stable,gauge,internal_bribe,pairfees,pf_bal0_raw,pf_bal0_fmt,pf_bal1_raw,pf_bal1_fmt,ib_bal0_raw,ib_bal0_fmt,ib_bal1_raw,ib_bal1_fmt
"0x9bf1E3ee61cBe5C61E520c8BEFf45Ed4D8212a9A","VARA","USDC","false","0xA250a3b6a5e5E8b398092537951F8Bd80639ed5c","0xc401adf58F18AF7fD1bf88d5a29a203d3B3783B2","0xa6Fd0dbAc727D79949b7a69Cba5A948ef23C2c33","79293231583295581373588","79,293.23","573329586","573.3296","7740835333195892649423","7,740.84","602313978","602.3140"
"0x7d8100072ba0e4dA8Dc6bd258859a5dC1A452e05","WKAVA","VARA","false","0xCa0d15B4BB6ad730fE40592f9E25A2E052842c92","0x33c9bfF51895d1bbf729677D32e85253850F616c","0x08a98Be424eA024f5F966749eA51D0c45a1DF45d","45080104761294241864","45.0801","33871242899855155430102","33,871.24","241762862968970943278","241.7629","387504133839022540999779","387,504.13"
"0x5C27a0D0e6d045b5113D728081268642060f7499","WKAVA","USDC","false","0x50CD5B513999b81dC3f4b70595629F7Cb92FCd32","0x3e51ebaa81088e67956d2586dDBc32901499E46C","0xA0A9d089a08D26925E7396242625626f782C2975","721905516058989957687","721.9055","3603753125","3,603.75","1274573307514537738225","1,274.57","2759484463","2,759.48"
"0x9aCAd463537d5b4fb1d7637bB558E79D0441B96f","DAI","USDC","true","0xe45086F996e4473E0973392c1FE97B52575466CF","0xa238D550925f420ED67Fc061a9406696d62ef23D","0x0dCBe2ac1FE2876566dc87d78F69C6e7f9d434aF","37952145946101517832","37.9521","11940393","11.9404","23567915649711332770","23.5679","20562080","20.5621"
"0xe1075dE313585808593ea7291CccE96607D589F6","TAROT","USX","false","0xe9e3F3ec2537E72C432F39a8Bb79a946E0605693","0xc5daDc9c2aeA07c2d1dB48155Eb3d6E4fc8010d6","0x62D7bD1Ddd4e734D2b5E197d7B57ae1bF01AfA7A","529149394820706386","0.529149","19448259467431597","0.019448","4895381884366898521","4.8954","348805807762689512","0.348806"
"0xcc35FD8B11e66aB413dc520c920F396c2c1096Eb","USX","USDC","true","0x19f7D523f77E08B94828674eFEe8c6B4F62dd176","0xAC3C95eB08CA921ec2A404B1240f6FC4Df1388F5","0x4B01C1f78B88aD531D9E46B11dA82bF356580014","9935110103462545856","9.9351","35608985","35.6090","11093666633113591062","11.0937","13458428","13.4584"
"0x4fe370e1b29Eda686Bfc63BCBEbfA16BE871056B","TIDE","WKAVA","false","0x0000000000000000000000000000000000000000","0x0000000000000000000000000000000000000000","0x6fDa7a945F47a50bCCb1E9f33E0B5e89962Bc894","11221013823689584022","11.2210","92268443454132053","0.092268","0","0","0","0"
"0x4c427e9C32c50311F11972Bf9Db0E45204660aFA","DAI","VARA","false","0x9BaC0D50B263179A047b00d82A1ae009dd04c2e4","0xf47f9cF8192b1B30A3dc607b56e5aDEbDCEe350D","0x90d406ff9baE5CBDf76B94e33f139E8a1aeAa946","255284839182601458336","255.2848","601433660445833003813","601.4337","4253928137875003062","4.2539","46900420703680730810","46.9004"
"0xbeBf0a910B92E743336d581C65cb938D8B9628Cd","SWKAVA","USDC","false","0xe6DE361A58C44e1457067Fd80A19Bc8D2b62434F","0x27c900552CddAA9C1371Def2f24e66c9c6e7B8FB","0x932C7f632F604FB5cAe41Ea66D1Cedd77A6fd967","5390102727739285636","5.3901","37715063","37.7151","71671022808423109721","71.6710","110147119","110.1471"
"0xAEB77224CA99873F0D88acc6F2594bf985dA5A71","ACS","USDC","false","0x395B15a15d027450123D9690b23179fEF77d1D37","0x55e163682fE9FDe85ABc48B9E940d90495Ed8Be2","0x7457297F754E87bC5a76c1ED4115ffeD05D3Ca44","1736026858993160778","1.7360","22706214","22.7062","12521478577110517927","12.5215","29166465","29.1665"
"0x5a574F12299A5C1a70a0E1dD2fD2E0d2417211a6","SWKAVA","WKAVA","true","0x3e720ec89aE09D5e58358b9787a4284aDdcF1c4B","0x68B03aDCE12B85D7467bdAF13B7AC599EE71dB23","0xA8A9C437b599fdC7e634E62834ac23Ba906688f6","1186409978263458382","1.1864","742002953320863729","0.742003","18287846424965287603","18.2878","20117487684467843148","20.1175"
"0xAe42F719c5162Fb0EF35C82108770EC6eEB55141","fBOMB","ETH","false","0xe6EE51c8AD615407776dF78B8a993312B4E35519","0xB20F21f548363ACccA4e605DC52eC89B7dFC36cb","0xFBB0Ed0810d07764B5867Bc29c0Dae5D11B41455","224193035208245345436","224.1930","74212512899539926","0.074213","2837767623470209030417","2,837.77","33932141760548631","0.033932"
